ref_year,employment_k,vs_peak_k
2006,16413.7,-583.1
2007,16756.8,-240.0
2008,16996.8,0.0
2009,16755.4,-241.4
2010,16978.2,-18.6
2011,17219.6,222.8
2012,17431.6,434.8
