ref_year,unemployment_pct
1976,7.1
1977,8.0
1978,8.4
1979,7.5
1980,7.5
1981,7.6
1982,11.0
1983,12.0
1984,11.3
1985,10.5
1986,9.6
1987,8.8
1988,7.8
1989,7.5
1990,8.1
1991,10.3
1992,11.2
1993,11.4
1994,10.4
1995,9.5
1996,9.6
1997,9.1
1998,8.3
1999,7.6
2000,6.8
2001,7.2
2002,7.7
2003,7.6
2004,7.2
2005,6.8
2006,6.5
2007,6.2
2008,6.3
2009,8.5
2010,8.2
2011,7.7
2012,7.4
2013,7.2
2014,7.0
2015,7.0
2016,7.1
2017,6.4
2018,5.8
2019,5.7
2020,9.7
2021,7.5
2022,5.3
2023,5.4
2024,6.3
2025,6.8
