year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1978,PE,Prince Edward Island,9.7,44.9,57.4,15.2,7.9
1978,QC,Quebec,11.0,2596.1,60.0,17.7,8.6
1978,SK,Saskatchewan,4.8,403.2,62.2,8.9,3.5
1979,AB,Alberta,3.9,1033.9,69.9,6.3,2.9
1979,BC,British Columbia,7.7,1188.5,63.6,12.8,5.9
1979,CA,Canada,7.5,10668.6,63.7,12.7,5.8
1979,MB,Manitoba,5.5,454.6,63.5,9.5,4.1
1979,NB,New Brunswick,10.9,250.1,55.4,17.3,8.6
1979,NL,Newfoundland and Labrador,14.8,176.7,53.4,23.7,11.4
1979,NS,Nova Scotia,10.0,317.3,57.0,18.0,7.3
1979,ON,Ontario,6.6,4092.8,66.6,11.6,5.0
1979,PE,Prince Edward Island,11.6,46.4,59.3,16.2,10.1
1979,QC,Quebec,9.7,2692.0,60.6,16.0,7.6
1979,SK,Saskatchewan,4.2,416.1,62.9,7.6,3.0
1980,AB,Alberta,3.9,1102.5,70.8,6.7,2.7
1980,BC,British Columbia,6.7,1266.4,64.7,11.3,5.1
1980,CA,Canada,7.5,10984.0,64.3,12.8,5.8
1980,MB,Manitoba,5.5,462.0,64.3,9.6,4.2
1980,NB,New Brunswick,11.1,253.9,55.7,17.7,9.1
1980,NL,Newfoundland and Labrador,13.3,182.6,53.2,21.1,10.5
1980,NS,Nova Scotia,9.7,324.4,57.3,16.3,7.5
1980,ON,Ontario,6.9,4165.1,66.8,12.2,5.1
1980,PE,Prince Edward Island,10.5,47.8,59.5,16.3,9.2
1980,QC,Quebec,10.0,2756.2,61.4,16.7,7.8
1980,SK,Saskatchewan,4.3,423.1,63.1,8.0,3.0
1981,AB,Alberta,3.9,1182.8,72.3,6.5,2.9
1981,BC,British Columbia,6.8,1319.6,65.4,11.2,5.5
1981,CA,Canada,7.6,11305.0,65.0,12.8,6.0
1981,MB,Manitoba,6.0,468.8,65.1,10.1,4.6
1981,NB,New Brunswick,11.6,257.7,56.4,18.6,9.3
1981,NL,Newfoundland and Labrador,13.5,186.1,53.5,22.5,10.0
1981,NS,Nova Scotia,10.0,328.3,57.7,16.7,7.9
1981,ON,Ontario,6.6,4292.5,67.7,11.9,4.9
1981,PE,Prince Edward Island,11.3,47.1,58.7,19.2,8.9
1981,QC,Quebec,10.5,2791.2,61.9,17.0,8.6
1981,SK,Saskatchewan,4.5,430.9,63.6,8.3,3.3
1982,AB,Alberta,7.7,1164.3,71.7,12.4,6.1
1982,BC,British Columbia,12.1,1253.4,64.6,20.7,9.5
1982,CA,Canada,11.0,10943.7,64.4,18.2,8.9
1982,MB,Manitoba,8.5,460.3,65.0,13.6,7.1
1982,NB,New Brunswick,14.0,248.4,55.3,22.8,11.3
1982,NL,Newfoundland and Labrador,16.2,180.8,53.1,27.3,12.5
1982,NS,Nova Scotia,12.8,321.1,57.5,21.7,10.2
1982,ON,Ontario,9.8,4198.6,67.5,16.7,7.8
1982,PE,Prince Edward Island,12.6,46.6,58.5,20.4,10.3
1982,QC,Quebec,14.0,2640.1,60.4,22.6,11.6
1982,SK,Saskatchewan,6.3,430.0,63.8,11.3,4.8
1983,AB,Alberta,11.0,1133.8,71.7,15.7,9.5
1983,BC,British Columbia,13.9,1244.9,64.5,22.8,11.6
1983,CA,Canada,12.0,11022.0,64.7,19.2,10.0
1983,MB,Manitoba,9.5,467.9,65.8,14.7,7.9
1983,NB,New Brunswick,14.9,251.3,55.7,24.3,12.1
