ref_year,region_code,gender,age_group,value
2023,BC,Total,All ages,5515296.0
2023,CA,Total,15 to 64 years,26304672.0
2023,CA,Total,25 to 44 years,11366186.0
2023,CA,Total,All ages,40049088.0
2023,MB,Total,15 to 64 years,946017.0
2023,MB,Total,25 to 44 years,409247.0
2023,MB,Total,All ages,1453202.0
2023,NB,Total,15 to 64 years,522124.0
2023,NB,Total,25 to 44 years,203044.0
2023,NB,Total,All ages,831103.0
2023,NL,Total,15 to 64 years,339400.0
2023,NL,Total,25 to 44 years,123831.0
2023,NL,Total,All ages,538789.0
2023,NS,Total,15 to 64 years,675896.0
2023,NS,Total,25 to 44 years,276902.0
2023,NS,Total,All ages,1053005.0
2023,NT,Total,15 to 64 years,31287.0
2023,NT,Total,25 to 44 years,14160.0
2023,NT,Total,All ages,44614.0
2023,NU,Total,15 to 64 years,26191.0
2023,NU,Total,25 to 44 years,11778.0
2023,NU,Total,All ages,40916.0
2023,ON,Total,15 to 64 years,10439604.0
2023,ON,Total,25 to 44 years,4505083.0
2023,ON,Total,All ages,15632481.0
2023,PE,Total,15 to 64 years,113098.0
2023,PE,Total,25 to 44 years,44559.0
2023,PE,Total,All ages,173734.0
2023,QC,Total,15 to 64 years,5594825.0
2023,QC,Total,25 to 44 years,2354277.0
2023,QC,Total,All ages,8821696.0
2023,SK,Total,15 to 64 years,768080.0
2023,SK,Total,25 to 44 years,334559.0
2023,SK,Total,All ages,1210257.0
2023,YT,Total,15 to 64 years,31400.0
2023,YT,Total,25 to 44 years,15130.0
2023,YT,Total,All ages,45419.0
2024,AB,Total,15 to 64 years,3299160.0
2024,AB,Total,25 to 44 years,1519553.0
2024,AB,Total,All ages,4909030.0
2024,BC,Total,15 to 64 years,3791255.0
2024,BC,Total,25 to 44 years,1717128.0
2024,BC,Total,All ages,5671114.0
2024,CA,Total,15 to 64 years,27168360.0
2024,CA,Total,25 to 44 years,11923829.0
2024,CA,Total,All ages,41262329.0
2024,MB,Total,15 to 64 years,973745.0
2024,MB,Total,25 to 44 years,429365.0
2024,MB,Total,All ages,1492144.0
2024,NB,Total,15 to 64 years,539958.0
2024,NB,Total,25 to 44 years,215850.0
2024,NB,Total,All ages,858293.0
2024,NL,Total,15 to 64 years,343699.0
2024,NL,Total,25 to 44 years,127918.0
2024,NL,Total,All ages,546869.0
2024,NS,Total,15 to 64 years,696373.0
2024,NS,Total,25 to 44 years,293141.0
2024,NS,Total,All ages,1082769.0
2024,NT,Total,15 to 64 years,31837.0
2024,NT,Total,25 to 44 years,14555.0
2024,NT,Total,All ages,45257.0
2024,NU,Total,15 to 64 years,26615.0
2024,NU,Total,25 to 44 years,11997.0
2024,NU,Total,All ages,41410.0
2024,ON,Total,15 to 64 years,10814563.0
2024,ON,Total,25 to 44 years,4758744.0
2024,ON,Total,All ages,16144797.0
2024,PE,Total,15 to 64 years,117577.0
2024,PE,Total,25 to 44 years,48044.0
2024,PE,Total,All ages,179709.0
2024,QC,Total,15 to 64 years,5704962.0
2024,QC,Total,25 to 44 years,2421365.0
2024,QC,Total,All ages,8995474.0
2024,SK,Total,15 to 64 years,795512.0
2024,SK,Total,25 to 44 years,349959.0
2024,SK,Total,All ages,1247868.0
2024,YT,Total,15 to 64 years,33104.0
2024,YT,Total,25 to 44 years,16210.0
2024,YT,Total,All ages,47595.0
2025,AB,Total,15 to 64 years,3371898.0
2025,AB,Total,25 to 44 years,1557403.0
2025,AB,Total,All ages,5029346.0
2025,BC,Total,15 to 64 years,3784416.0
2025,BC,Total,25 to 44 years,1722911.0
2025,BC,Total,All ages,5697536.0
2025,CA,Total,15 to 64 years,27282024.0
2025,CA,Total,25 to 44 years,12063525.0
2025,CA,Total,All ages,41651653.0
2025,MB,Total,15 to 64 years,982880.0
2025,MB,Total,25 to 44 years,440028.0
2025,MB,Total,All ages,1509702.0
2025,NB,Total,15 to 64 years,544757.0
2025,NB,Total,25 to 44 years,220769.0
2025,NB,Total,All ages,869682.0
2025,NL,Total,15 to 64 years,343648.0
2025,NL,Total,25 to 44 years,129271.0
2025,NL,Total,All ages,549911.0
2025,NS,Total,15 to 64 years,700288.0
2025,NS,Total,25 to 44 years,300468.0
2025,NS,Total,All ages,1093245.0
2025,NT,Total,15 to 64 years,32452.0
2025,NT,Total,25 to 44 years,14965.0
2025,NT,Total,All ages,45950.0
2025,NU,Total,15 to 64 years,27009.0
2025,NU,Total,25 to 44 years,12201.0
2025,NU,Total,All ages,41830.0
2025,ON,Total,15 to 64 years,10816896.0
2025,ON,Total,25 to 44 years,4818032.0
2025,ON,Total,All ages,16258260.0
2025,PE,Total,15 to 64 years,119218.0
2025,PE,Total,25 to 44 years,50339.0
2025,PE,Total,All ages,182657.0
2025,QC,Total,15 to 64 years,5717528.0
2025,QC,Total,25 to 44 years,2423737.0
2025,QC,Total,All ages,9058297.0
2025,SK,Total,15 to 64 years,807522.0
2025,SK,Total,25 to 44 years,356806.0
2025,SK,Total,All ages,1266959.0
2025,YT,Total,15 to 64 years,33512.0
2025,YT,Total,25 to 44 years,16595.0
2025,YT,Total,All ages,48278.0
