ref_year,region_code,gender,age_group,characteristic,value,uom
2021,NL,Total,15 to 64 years,Proportion employed part-time,14.5,Percent
2021,NL,Total,15 to 64 years,Unemployment,31.8,Persons in thousands
2021,NL,Total,15 to 64 years,Unemployment rate,12.9,Percent
2021,NL,Total,15 years and over,Employment,225.1,Persons in thousands
2021,NL,Total,15 years and over,Employment rate,50.0,Percent
2021,NL,Total,15 years and over,Full-time employment,191.4,Persons in thousands
2021,NL,Total,15 years and over,Labour force,258.9,Persons in thousands
2021,NL,Total,15 years and over,Not in labour force,191.1,Persons in thousands
2021,NL,Total,15 years and over,Part-time employment,33.7,Persons in thousands
2021,NL,Total,15 years and over,Participation rate,57.5,Percent
2021,NL,Total,15 years and over,Population,450.0,Persons in thousands
2021,NL,Total,15 years and over,Proportion employed full-time,85.0,Percent
2021,NL,Total,15 years and over,Proportion employed part-time,15.0,Percent
2021,NL,Total,15 years and over,Unemployment,33.7,Persons in thousands
2021,NL,Total,15 years and over,Unemployment rate,13.0,Percent
2021,NL,Total,25 to 54 years,Employment,145.1,Persons in thousands
2021,NL,Total,25 to 54 years,Employment rate,75.8,Percent
2021,NL,Total,25 to 54 years,Full-time employment,132.3,Persons in thousands
2021,NL,Total,25 to 54 years,Labour force,162.2,Persons in thousands
2021,NL,Total,25 to 54 years,Not in labour force,29.1,Persons in thousands
2021,NL,Total,25 to 54 years,Part-time employment,12.8,Persons in thousands
2021,NL,Total,25 to 54 years,Participation rate,84.8,Percent
2021,NL,Total,25 to 54 years,Population,191.3,Persons in thousands
2021,NL,Total,25 to 54 years,Proportion employed full-time,91.2,Percent
2021,NL,Total,25 to 54 years,Proportion employed part-time,8.8,Percent
2021,NL,Total,25 to 54 years,Unemployment,17.0,Persons in thousands
2021,NL,Total,25 to 54 years,Unemployment rate,10.5,Percent
2021,NS,Total,15 to 24 years,Employment,65.0,Persons in thousands
2021,NS,Total,15 to 24 years,Employment rate,59.6,Percent
2021,NS,Total,15 to 24 years,Full-time employment,36.7,Persons in thousands
2021,NS,Total,15 to 24 years,Labour force,75.7,Persons in thousands
2021,NS,Total,15 to 24 years,Not in labour force,33.2,Persons in thousands
2021,NS,Total,15 to 24 years,Part-time employment,28.2,Persons in thousands
2021,NS,Total,15 to 24 years,Participation rate,69.4,Percent
2021,NS,Total,15 to 24 years,Population,109.0,Persons in thousands
2021,NS,Total,15 to 24 years,Proportion employed full-time,56.5,Percent
2021,NS,Total,15 to 24 years,Proportion employed part-time,43.4,Percent
2021,NS,Total,15 to 24 years,Unemployment,10.7,Persons in thousands
2021,NS,Total,15 to 24 years,Unemployment rate,14.1,Percent
2021,NS,Total,15 to 64 years,Employment,449.0,Persons in thousands
2021,NS,Total,15 to 64 years,Employment rate,72.0,Percent
2021,NS,Total,15 to 64 years,Full-time employment,372.0,Persons in thousands
2021,NS,Total,15 to 64 years,Labour force,491.3,Persons in thousands
2021,NS,Total,15 to 64 years,Not in labour force,132.6,Persons in thousands
2021,NS,Total,15 to 64 years,Part-time employment,77.1,Persons in thousands
2021,NS,Total,15 to 64 years,Participation rate,78.7,Percent
2021,NS,Total,15 to 64 years,Population,623.9,Persons in thousands
2021,NS,Total,15 to 64 years,Proportion employed full-time,82.9,Percent
2021,NS,Total,15 to 64 years,Proportion employed part-time,17.2,Percent
2021,NS,Total,15 to 64 years,Unemployment,42.2,Persons in thousands
2021,NS,Total,15 to 64 years,Unemployment rate,8.6,Percent
2021,NS,Total,15 years and over,Employment,475.5,Persons in thousands
2021,NS,Total,15 years and over,Employment rate,57.1,Percent
2021,NS,Total,15 years and over,Full-time employment,387.4,Persons in thousands
2021,NS,Total,15 years and over,Labour force,520.2,Persons in thousands
2021,NS,Total,15 years and over,Not in labour force,312.7,Persons in thousands
2021,NS,Total,15 years and over,Part-time employment,88.1,Persons in thousands
2021,NS,Total,15 years and over,Participation rate,62.5,Percent
2021,NS,Total,15 years and over,Population,832.9,Persons in thousands
2021,NS,Total,15 years and over,Proportion employed full-time,81.5,Percent
2021,NS,Total,15 years and over,Proportion employed part-time,18.5,Percent
2021,NS,Total,15 years and over,Unemployment,44.7,Persons in thousands
2021,NS,Total,15 years and over,Unemployment rate,8.6,Percent
2021,NS,Total,25 to 54 years,Employment,294.9,Persons in thousands
2021,NS,Total,25 to 54 years,Employment rate,81.6,Percent
2021,NS,Total,25 to 54 years,Full-time employment,261.9,Persons in thousands
2021,NS,Total,25 to 54 years,Labour force,317.6,Persons in thousands
2021,NS,Total,25 to 54 years,Not in labour force,43.6,Persons in thousands
2021,NS,Total,25 to 54 years,Part-time employment,33.0,Persons in thousands
2021,NS,Total,25 to 54 years,Participation rate,87.9,Percent
2021,NS,Total,25 to 54 years,Population,361.2,Persons in thousands
2021,NS,Total,25 to 54 years,Proportion employed full-time,88.8,Percent
2021,NS,Total,25 to 54 years,Proportion employed part-time,11.2,Percent
2021,NS,Total,25 to 54 years,Unemployment,22.7,Persons in thousands
2021,NS,Total,25 to 54 years,Unemployment rate,7.1,Percent
2021,ON,Total,15 to 24 years,Employment,922.3,Persons in thousands
2021,ON,Total,15 to 24 years,Employment rate,50.9,Percent
2021,ON,Total,15 to 24 years,Full-time employment,476.6,Persons in thousands
2021,ON,Total,15 to 24 years,Labour force,1096.7,Persons in thousands
2021,ON,Total,15 to 24 years,Not in labour force,713.8,Persons in thousands
2021,ON,Total,15 to 24 years,Part-time employment,445.7,Persons in thousands
2021,ON,Total,15 to 24 years,Participation rate,60.6,Percent
2021,ON,Total,15 to 24 years,Population,1810.5,Persons in thousands
2021,ON,Total,15 to 24 years,Proportion employed full-time,51.7,Percent
2021,ON,Total,15 to 24 years,Proportion employed part-time,48.3,Percent
2021,ON,Total,15 to 24 years,Unemployment,174.4,Persons in thousands
2021,ON,Total,15 to 24 years,Unemployment rate,15.9,Percent
2021,ON,Total,15 to 64 years,Employment,7047.6,Persons in thousands
2021,ON,Total,15 to 64 years,Employment rate,72.1,Percent
2021,ON,Total,15 to 64 years,Full-time employment,5884.0,Persons in thousands
2021,ON,Total,15 to 64 years,Labour force,7670.0,Persons in thousands
2021,ON,Total,15 to 64 years,Not in labour force,2111.4,Persons in thousands
2021,ON,Total,15 to 64 years,Part-time employment,1163.7,Persons in thousands
2021,ON,Total,15 to 64 years,Participation rate,78.4,Percent
2021,ON,Total,15 to 64 years,Population,9781.4,Persons in thousands
2021,ON,Total,15 to 64 years,Proportion employed full-time,83.5,Percent
2021,ON,Total,15 to 64 years,Proportion employed part-time,16.5,Percent
2021,ON,Total,15 to 64 years,Unemployment,622.3,Persons in thousands
2021,ON,Total,15 to 64 years,Unemployment rate,8.1,Percent
2021,ON,Total,15 years and over,Employment,7404.8,Persons in thousands
2021,ON,Total,15 years and over,Employment rate,59.9,Percent
2021,ON,Total,15 years and over,Full-time employment,6111.0,Persons in thousands
2021,ON,Total,15 years and over,Labour force,8060.1,Persons in thousands
2021,ON,Total,15 years and over,Not in labour force,4301.1,Persons in thousands
2021,ON,Total,15 years and over,Part-time employment,1293.8,Persons in thousands
2021,ON,Total,15 years and over,Participation rate,65.2,Percent
2021,ON,Total,15 years and over,Population,12361.2,Persons in thousands
2021,ON,Total,15 years and over,Proportion employed full-time,82.5,Percent
2021,ON,Total,15 years and over,Proportion employed part-time,17.5,Percent
2021,ON,Total,15 years and over,Unemployment,655.3,Persons in thousands
2021,ON,Total,15 years and over,Unemployment rate,8.1,Percent
2021,ON,Total,25 to 54 years,Employment,4827.2,Persons in thousands
2021,ON,Total,25 to 54 years,Employment rate,81.3,Percent
2021,ON,Total,25 to 54 years,Full-time employment,4308.4,Persons in thousands
2021,ON,Total,25 to 54 years,Labour force,5174.1,Persons in thousands
2021,ON,Total,25 to 54 years,Not in labour force,765.0,Persons in thousands
2021,ON,Total,25 to 54 years,Part-time employment,518.8,Persons in thousands
2021,ON,Total,25 to 54 years,Participation rate,87.1,Percent
2021,ON,Total,25 to 54 years,Population,5939.2,Persons in thousands
2021,ON,Total,25 to 54 years,Proportion employed full-time,89.3,Percent
2021,ON,Total,25 to 54 years,Proportion employed part-time,10.7,Percent
2021,ON,Total,25 to 54 years,Unemployment,346.9,Persons in thousands
2021,ON,Total,25 to 54 years,Unemployment rate,6.7,Percent
2021,PE,Total,15 to 24 years,Employment,12.2,Persons in thousands
2021,PE,Total,15 to 24 years,Employment rate,58.9,Percent
2021,PE,Total,15 to 24 years,Full-time employment,8.0,Persons in thousands
2021,PE,Total,15 to 24 years,Labour force,14.2,Persons in thousands
2021,PE,Total,15 to 24 years,Not in labour force,6.5,Persons in thousands
2021,PE,Total,15 to 24 years,Part-time employment,4.2,Persons in thousands
2021,PE,Total,15 to 24 years,Participation rate,68.6,Percent
2021,PE,Total,15 to 24 years,Population,20.7,Persons in thousands
2021,PE,Total,15 to 24 years,Proportion employed full-time,65.6,Percent
2021,PE,Total,15 to 24 years,Proportion employed part-time,34.4,Percent
2021,PE,Total,15 to 24 years,Unemployment,2.0,Persons in thousands
2021,PE,Total,15 to 24 years,Unemployment rate,14.1,Percent
2021,PE,Total,15 to 64 years,Employment,74.9,Persons in thousands
2021,PE,Total,15 to 64 years,Employment rate,72.7,Percent
2021,PE,Total,15 to 64 years,Full-time employment,64.0,Persons in thousands
2021,PE,Total,15 to 64 years,Labour force,83.0,Persons in thousands
2021,PE,Total,15 to 64 years,Not in labour force,20.1,Persons in thousands
2021,PE,Total,15 to 64 years,Part-time employment,11.0,Persons in thousands
2021,PE,Total,15 to 64 years,Participation rate,80.6,Percent
2021,PE,Total,15 to 64 years,Population,103.0,Persons in thousands
2021,PE,Total,15 to 64 years,Proportion employed full-time,85.4,Percent
2021,PE,Total,15 to 64 years,Proportion employed part-time,14.7,Percent
2021,PE,Total,15 to 64 years,Unemployment,8.0,Persons in thousands
2021,PE,Total,15 to 64 years,Unemployment rate,9.6,Percent
2021,PE,Total,15 years and over,Employment,80.0,Persons in thousands
2021,PE,Total,15 years and over,Employment rate,59.3,Percent
2021,PE,Total,15 years and over,Full-time employment,67.2,Persons in thousands
2021,PE,Total,15 years and over,Labour force,88.7,Persons in thousands
2021,PE,Total,15 years and over,Not in labour force,46.1,Persons in thousands
2021,PE,Total,15 years and over,Part-time employment,12.8,Persons in thousands
2021,PE,Total,15 years and over,Participation rate,65.8,Percent
2021,PE,Total,15 years and over,Population,134.8,Persons in thousands
2021,PE,Total,15 years and over,Proportion employed full-time,84.0,Percent
2021,PE,Total,15 years and over,Proportion employed part-time,16.0,Percent
2021,PE,Total,15 years and over,Unemployment,8.7,Persons in thousands
2021,PE,Total,15 years and over,Unemployment rate,9.8,Percent
2021,PE,Total,25 to 54 years,Employment,48.1,Persons in thousands
2021,PE,Total,25 to 54 years,Employment rate,81.5,Percent
2021,PE,Total,25 to 54 years,Full-time employment,43.7,Persons in thousands
2021,PE,Total,25 to 54 years,Labour force,52.5,Persons in thousands
2021,PE,Total,25 to 54 years,Not in labour force,6.5,Persons in thousands
2021,PE,Total,25 to 54 years,Part-time employment,4.4,Persons in thousands
2021,PE,Total,25 to 54 years,Participation rate,89.0,Percent
2021,PE,Total,25 to 54 years,Population,59.0,Persons in thousands
2021,PE,Total,25 to 54 years,Proportion employed full-time,90.9,Percent
2021,PE,Total,25 to 54 years,Proportion employed part-time,9.1,Percent
2021,PE,Total,25 to 54 years,Unemployment,4.4,Persons in thousands
2021,PE,Total,25 to 54 years,Unemployment rate,8.4,Percent
2021,QC,Total,15 to 24 years,Employment,561.3,Persons in thousands
2021,QC,Total,15 to 24 years,Employment rate,62.3,Percent
2021,QC,Total,15 to 24 years,Full-time employment,260.6,Persons in thousands
2021,QC,Total,15 to 24 years,Labour force,621.1,Persons in thousands
2021,QC,Total,15 to 24 years,Not in labour force,280.1,Persons in thousands
2021,QC,Total,15 to 24 years,Part-time employment,300.8,Persons in thousands
2021,QC,Total,15 to 24 years,Participation rate,68.9,Percent
2021,QC,Total,15 to 24 years,Population,901.1,Persons in thousands
2021,QC,Total,15 to 24 years,Proportion employed full-time,46.4,Percent
2021,QC,Total,15 to 24 years,Proportion employed part-time,53.6,Percent
2021,QC,Total,15 to 24 years,Unemployment,59.7,Persons in thousands
2021,QC,Total,15 to 24 years,Unemployment rate,9.6,Percent
2021,QC,Total,15 to 64 years,Employment,4094.1,Persons in thousands
2021,QC,Total,15 to 64 years,Employment rate,75.6,Percent
2021,QC,Total,15 to 64 years,Full-time employment,3416.9,Persons in thousands
2021,QC,Total,15 to 64 years,Labour force,4359.6,Persons in thousands
2021,QC,Total,15 to 64 years,Not in labour force,1053.9,Persons in thousands
2021,QC,Total,15 to 64 years,Part-time employment,677.2,Persons in thousands
2021,QC,Total,15 to 64 years,Participation rate,80.5,Percent
2021,QC,Total,15 to 64 years,Population,5413.5,Persons in thousands
2021,QC,Total,15 to 64 years,Proportion employed full-time,83.5,Percent
2021,QC,Total,15 to 64 years,Proportion employed part-time,16.5,Percent
2021,QC,Total,15 to 64 years,Unemployment,265.6,Persons in thousands
2021,QC,Total,15 to 64 years,Unemployment rate,6.1,Percent
2021,QC,Total,15 years and over,Employment,4261.8,Persons in thousands
2021,QC,Total,15 years and over,Employment rate,60.3,Percent
2021,QC,Total,15 years and over,Full-time employment,3510.8,Persons in thousands
2021,QC,Total,15 years and over,Labour force,4539.4,Persons in thousands
2021,QC,Total,15 years and over,Not in labour force,2522.9,Persons in thousands
2021,QC,Total,15 years and over,Part-time employment,751.0,Persons in thousands
2021,QC,Total,15 years and over,Participation rate,64.3,Percent
2021,QC,Total,15 years and over,Population,7062.2,Persons in thousands
2021,QC,Total,15 years and over,Proportion employed full-time,82.4,Percent
2021,QC,Total,15 years and over,Proportion employed part-time,17.6,Percent
2021,QC,Total,15 years and over,Unemployment,277.6,Persons in thousands
2021,QC,Total,15 years and over,Unemployment rate,6.1,Percent
2021,QC,Total,25 to 54 years,Employment,2784.0,Persons in thousands
2021,QC,Total,25 to 54 years,Employment rate,84.8,Percent
2021,QC,Total,25 to 54 years,Full-time employment,2530.3,Persons in thousands
2021,QC,Total,25 to 54 years,Labour force,2935.5,Persons in thousands
2021,QC,Total,25 to 54 years,Not in labour force,346.6,Persons in thousands
2021,QC,Total,25 to 54 years,Part-time employment,253.7,Persons in thousands
2021,QC,Total,25 to 54 years,Participation rate,89.4,Percent
2021,QC,Total,25 to 54 years,Population,3282.1,Persons in thousands
2021,QC,Total,25 to 54 years,Proportion employed full-time,90.9,Percent
2021,QC,Total,25 to 54 years,Proportion employed part-time,9.1,Percent
2021,QC,Total,25 to 54 years,Unemployment,151.5,Persons in thousands
2021,QC,Total,25 to 54 years,Unemployment rate,5.2,Percent
2021,SK,Total,15 to 24 years,Employment,75.8,Persons in thousands
2021,SK,Total,15 to 24 years,Employment rate,58.0,Percent
2021,SK,Total,15 to 24 years,Full-time employment,42.8,Persons in thousands
2021,SK,Total,15 to 24 years,Labour force,85.8,Persons in thousands
2021,SK,Total,15 to 24 years,Not in labour force,44.7,Persons in thousands
2021,SK,Total,15 to 24 years,Part-time employment,33.0,Persons in thousands
2021,SK,Total,15 to 24 years,Participation rate,65.7,Percent
2021,SK,Total,15 to 24 years,Population,130.6,Persons in thousands
2021,SK,Total,15 to 24 years,Proportion employed full-time,56.5,Percent
2021,SK,Total,15 to 24 years,Proportion employed part-time,43.5,Percent
2021,SK,Total,15 to 24 years,Unemployment,10.0,Persons in thousands
2021,SK,Total,15 to 24 years,Unemployment rate,11.7,Percent
2021,SK,Total,15 to 64 years,Employment,527.4,Persons in thousands
2021,SK,Total,15 to 64 years,Employment rate,75.2,Percent
2021,SK,Total,15 to 64 years,Full-time employment,436.6,Persons in thousands
2021,SK,Total,15 to 64 years,Labour force,564.4,Persons in thousands
2021,SK,Total,15 to 64 years,Not in labour force,136.4,Persons in thousands
2021,SK,Total,15 to 64 years,Part-time employment,90.8,Persons in thousands
2021,SK,Total,15 to 64 years,Participation rate,80.5,Percent
2021,SK,Total,15 to 64 years,Population,700.9,Persons in thousands
2021,SK,Total,15 to 64 years,Proportion employed full-time,82.8,Percent
2021,SK,Total,15 to 64 years,Proportion employed part-time,17.2,Percent
2021,SK,Total,15 to 64 years,Unemployment,37.1,Persons in thousands
2021,SK,Total,15 to 64 years,Unemployment rate,6.6,Percent
2021,SK,Total,15 years and over,Employment,558.3,Persons in thousands
2021,SK,Total,15 years and over,Employment rate,63.1,Percent
2021,SK,Total,15 years and over,Full-time employment,455.0,Persons in thousands
2021,SK,Total,15 years and over,Labour force,597.1,Persons in thousands
2021,SK,Total,15 years and over,Not in labour force,288.1,Persons in thousands
2021,SK,Total,15 years and over,Part-time employment,103.3,Persons in thousands
2021,SK,Total,15 years and over,Participation rate,67.5,Percent
2021,SK,Total,15 years and over,Population,885.2,Persons in thousands
2021,SK,Total,15 years and over,Proportion employed full-time,81.5,Percent
2021,SK,Total,15 years and over,Proportion employed part-time,18.5,Percent
2021,SK,Total,15 years and over,Unemployment,38.8,Persons in thousands
2021,SK,Total,15 years and over,Unemployment rate,6.5,Percent
2021,SK,Total,25 to 54 years,Employment,358.7,Persons in thousands
2021,SK,Total,25 to 54 years,Employment rate,84.1,Percent
2021,SK,Total,25 to 54 years,Full-time employment,317.3,Persons in thousands
2021,SK,Total,25 to 54 years,Labour force,379.5,Persons in thousands
2021,SK,Total,25 to 54 years,Not in labour force,47.1,Persons in thousands
2021,SK,Total,25 to 54 years,Part-time employment,41.4,Persons in thousands
2021,SK,Total,25 to 54 years,Participation rate,88.9,Percent
2021,SK,Total,25 to 54 years,Population,426.7,Persons in thousands
2021,SK,Total,25 to 54 years,Proportion employed full-time,88.5,Percent
2021,SK,Total,25 to 54 years,Proportion employed part-time,11.5,Percent
2021,SK,Total,25 to 54 years,Unemployment,20.8,Persons in thousands
2021,SK,Total,25 to 54 years,Unemployment rate,5.5,Percent
2022,AB,Total,15 to 24 years,Employment,304.0,Persons in thousands
2022,AB,Total,15 to 24 years,Employment rate,57.5,Percent
2022,AB,Total,15 to 24 years,Full-time employment,160.5,Persons in thousands
2022,AB,Total,15 to 24 years,Labour force,341.5,Persons in thousands
2022,AB,Total,15 to 24 years,Not in labour force,187.4,Persons in thousands
2022,AB,Total,15 to 24 years,Part-time employment,143.5,Persons in thousands
2022,AB,Total,15 to 24 years,Participation rate,64.6,Percent
2022,AB,Total,15 to 24 years,Population,528.8,Persons in thousands
2022,AB,Total,15 to 24 years,Proportion employed full-time,52.8,Percent
2022,AB,Total,15 to 24 years,Proportion employed part-time,47.2,Percent
2022,AB,Total,15 to 24 years,Unemployment,37.5,Persons in thousands
2022,AB,Total,15 to 24 years,Unemployment rate,11.0,Percent
2022,AB,Total,15 to 64 years,Employment,2252.3,Persons in thousands
2022,AB,Total,15 to 64 years,Employment rate,76.2,Percent
2022,AB,Total,15 to 64 years,Full-time employment,1858.0,Persons in thousands
2022,AB,Total,15 to 64 years,Labour force,2392.0,Persons in thousands
2022,AB,Total,15 to 64 years,Not in labour force,564.5,Persons in thousands
2022,AB,Total,15 to 64 years,Part-time employment,394.3,Persons in thousands
2022,AB,Total,15 to 64 years,Participation rate,80.9,Percent
2022,AB,Total,15 to 64 years,Population,2956.5,Persons in thousands
2022,AB,Total,15 to 64 years,Proportion employed full-time,82.5,Percent
2022,AB,Total,15 to 64 years,Proportion employed part-time,17.5,Percent
2022,AB,Total,15 to 64 years,Unemployment,139.7,Persons in thousands
2022,AB,Total,15 to 64 years,Unemployment rate,5.8,Percent
2022,AB,Total,15 years and over,Employment,2356.0,Persons in thousands
2022,AB,Total,15 years and over,Employment rate,65.5,Percent
2022,AB,Total,15 years and over,Full-time employment,1920.2,Persons in thousands
2022,AB,Total,15 years and over,Labour force,2502.0,Persons in thousands
2022,AB,Total,15 years and over,Not in labour force,1093.1,Persons in thousands
2022,AB,Total,15 years and over,Part-time employment,435.8,Persons in thousands
2022,AB,Total,15 years and over,Participation rate,69.6,Percent
2022,AB,Total,15 years and over,Population,3595.1,Persons in thousands
2022,AB,Total,15 years and over,Proportion employed full-time,81.5,Percent
2022,AB,Total,15 years and over,Proportion employed part-time,18.5,Percent
2022,AB,Total,15 years and over,Unemployment,146.0,Persons in thousands
2022,AB,Total,15 years and over,Unemployment rate,5.8,Percent
2022,AB,Total,25 to 54 years,Employment,1594.4,Persons in thousands
2022,AB,Total,25 to 54 years,Employment rate,84.5,Percent
2022,AB,Total,25 to 54 years,Full-time employment,1402.7,Persons in thousands
2022,AB,Total,25 to 54 years,Labour force,1673.7,Persons in thousands
2022,AB,Total,25 to 54 years,Not in labour force,212.5,Persons in thousands
2022,AB,Total,25 to 54 years,Part-time employment,191.7,Persons in thousands
2022,AB,Total,25 to 54 years,Participation rate,88.7,Percent
2022,AB,Total,25 to 54 years,Population,1886.2,Persons in thousands
2022,AB,Total,25 to 54 years,Proportion employed full-time,88.0,Percent
2022,AB,Total,25 to 54 years,Proportion employed part-time,12.0,Percent
2022,AB,Total,25 to 54 years,Unemployment,79.3,Persons in thousands
2022,AB,Total,25 to 54 years,Unemployment rate,4.7,Percent
2022,BC,Total,15 to 24 years,Employment,359.4,Persons in thousands
2022,BC,Total,15 to 24 years,Employment rate,60.5,Percent
2022,BC,Total,15 to 24 years,Full-time employment,174.8,Persons in thousands
2022,BC,Total,15 to 24 years,Labour force,394.6,Persons in thousands
2022,BC,Total,15 to 24 years,Not in labour force,199.1,Persons in thousands
2022,BC,Total,15 to 24 years,Part-time employment,184.6,Persons in thousands
2022,BC,Total,15 to 24 years,Participation rate,66.5,Percent
2022,BC,Total,15 to 24 years,Population,593.8,Persons in thousands
2022,BC,Total,15 to 24 years,Proportion employed full-time,48.6,Percent
2022,BC,Total,15 to 24 years,Proportion employed part-time,51.4,Percent
2022,BC,Total,15 to 24 years,Unemployment,35.2,Persons in thousands
2022,BC,Total,15 to 24 years,Unemployment rate,8.9,Percent
2022,BC,Total,15 to 64 years,Employment,2628.8,Persons in thousands
2022,BC,Total,15 to 64 years,Employment rate,76.2,Percent
2022,BC,Total,15 to 64 years,Full-time employment,2123.4,Persons in thousands
2022,BC,Total,15 to 64 years,Labour force,2759.1,Persons in thousands
2022,BC,Total,15 to 64 years,Not in labour force,688.7,Persons in thousands
2022,BC,Total,15 to 64 years,Part-time employment,505.4,Persons in thousands
2022,BC,Total,15 to 64 years,Participation rate,80.0,Percent
2022,BC,Total,15 to 64 years,Population,3447.8,Persons in thousands
2022,BC,Total,15 to 64 years,Proportion employed full-time,80.8,Percent
2022,BC,Total,15 to 64 years,Proportion employed part-time,19.2,Percent
2022,BC,Total,15 to 64 years,Unemployment,130.3,Persons in thousands
2022,BC,Total,15 to 64 years,Unemployment rate,4.7,Percent
2022,BC,Total,15 years and over,Employment,2775.7,Persons in thousands
2022,BC,Total,15 years and over,Employment rate,62.5,Percent
2022,BC,Total,15 years and over,Full-time employment,2204.4,Persons in thousands
2022,BC,Total,15 years and over,Labour force,2911.0,Persons in thousands
2022,BC,Total,15 years and over,Not in labour force,1532.4,Persons in thousands
2022,BC,Total,15 years and over,Part-time employment,571.4,Persons in thousands
2022,BC,Total,15 years and over,Participation rate,65.5,Percent
2022,BC,Total,15 years and over,Population,4443.4,Persons in thousands
2022,BC,Total,15 years and over,Proportion employed full-time,79.4,Percent
2022,BC,Total,15 years and over,Proportion employed part-time,20.6,Percent
2022,BC,Total,15 years and over,Unemployment,135.3,Persons in thousands
2022,BC,Total,15 years and over,Unemployment rate,4.6,Percent
2022,BC,Total,25 to 54 years,Employment,1824.1,Persons in thousands
2022,BC,Total,25 to 54 years,Employment rate,84.5,Percent
2022,BC,Total,25 to 54 years,Full-time employment,1588.3,Persons in thousands
2022,BC,Total,25 to 54 years,Labour force,1900.2,Persons in thousands
2022,BC,Total,25 to 54 years,Not in labour force,257.6,Persons in thousands
2022,BC,Total,25 to 54 years,Part-time employment,235.8,Persons in thousands
2022,BC,Total,25 to 54 years,Participation rate,88.1,Percent
2022,BC,Total,25 to 54 years,Population,2157.8,Persons in thousands
2022,BC,Total,25 to 54 years,Proportion employed full-time,87.1,Percent
2022,BC,Total,25 to 54 years,Proportion employed part-time,12.9,Percent
2022,BC,Total,25 to 54 years,Unemployment,76.1,Persons in thousands
2022,BC,Total,25 to 54 years,Unemployment rate,4.0,Percent
2022,CA,Total,15 to 24 years,Employment,2604.2,Persons in thousands
2022,CA,Total,15 to 24 years,Employment rate,58.7,Percent
2022,CA,Total,15 to 24 years,Full-time employment,1326.9,Persons in thousands
2022,CA,Total,15 to 24 years,Labour force,2894.3,Persons in thousands
2022,CA,Total,15 to 24 years,Not in labour force,1540.6,Persons in thousands
2022,CA,Total,15 to 24 years,Part-time employment,1277.3,Persons in thousands
2022,CA,Total,15 to 24 years,Participation rate,65.3,Percent
2022,CA,Total,15 to 24 years,Population,4435.0,Persons in thousands
2022,CA,Total,15 to 24 years,Proportion employed full-time,51.0,Percent
2022,CA,Total,15 to 24 years,Proportion employed part-time,49.0,Percent
2022,CA,Total,15 to 24 years,Unemployment,290.1,Persons in thousands
2022,CA,Total,15 to 24 years,Unemployment rate,10.0,Percent
2022,CA,Total,15 to 64 years,Employment,18778.0,Persons in thousands
2022,CA,Total,15 to 64 years,Employment rate,75.6,Percent
2022,CA,Total,15 to 64 years,Full-time employment,15624.4,Persons in thousands
2022,CA,Total,15 to 64 years,Labour force,19827.8,Persons in thousands
2022,CA,Total,15 to 64 years,Not in labour force,5015.3,Persons in thousands
2022,CA,Total,15 to 64 years,Part-time employment,3153.7,Persons in thousands
2022,CA,Total,15 to 64 years,Participation rate,79.8,Percent
2022,CA,Total,15 to 64 years,Population,24843.2,Persons in thousands
2022,CA,Total,15 to 64 years,Proportion employed full-time,83.2,Percent
2022,CA,Total,15 to 64 years,Proportion employed part-time,16.8,Percent
2022,CA,Total,15 to 64 years,Unemployment,1049.8,Persons in thousands
2022,CA,Total,15 to 64 years,Unemployment rate,5.3,Percent
2022,CA,Total,15 years and over,Employment,19739.5,Persons in thousands
2022,CA,Total,15 years and over,Employment rate,62.0,Percent
2022,CA,Total,15 years and over,Full-time employment,16173.4,Persons in thousands
2022,CA,Total,15 years and over,Labour force,20838.3,Persons in thousands
2022,CA,Total,15 years and over,Not in labour force,10982.8,Persons in thousands
2022,CA,Total,15 years and over,Part-time employment,3566.1,Persons in thousands
2022,CA,Total,15 years and over,Participation rate,65.5,Percent
2022,CA,Total,15 years and over,Population,31821.1,Persons in thousands
2022,CA,Total,15 years and over,Proportion employed full-time,81.9,Percent
2022,CA,Total,15 years and over,Proportion employed part-time,18.1,Percent
2022,CA,Total,15 years and over,Unemployment,1098.8,Persons in thousands
2022,CA,Total,15 years and over,Unemployment rate,5.3,Percent
2022,CA,Total,25 to 54 years,Employment,12906.0,Persons in thousands
2022,CA,Total,25 to 54 years,Employment rate,84.7,Percent
2022,CA,Total,25 to 54 years,Full-time employment,11564.7,Persons in thousands
2022,CA,Total,25 to 54 years,Labour force,13492.3,Persons in thousands
2022,CA,Total,25 to 54 years,Not in labour force,1748.6,Persons in thousands
2022,CA,Total,25 to 54 years,Part-time employment,1341.3,Persons in thousands
2022,CA,Total,25 to 54 years,Participation rate,88.5,Percent
2022,CA,Total,25 to 54 years,Population,15240.9,Persons in thousands
2022,CA,Total,25 to 54 years,Proportion employed full-time,89.6,Percent
2022,CA,Total,25 to 54 years,Proportion employed part-time,10.4,Percent
2022,CA,Total,25 to 54 years,Unemployment,586.3,Persons in thousands
2022,CA,Total,25 to 54 years,Unemployment rate,4.3,Percent
2022,MB,Total,15 to 24 years,Employment,111.3,Persons in thousands
2022,MB,Total,15 to 24 years,Employment rate,64.3,Percent
2022,MB,Total,15 to 24 years,Full-time employment,62.1,Persons in thousands
2022,MB,Total,15 to 24 years,Labour force,121.4,Persons in thousands
