ref_year,region_code,gender,age_group,characteristic,value,uom
2020,BC,Total,15 years and over,Unemployment,253.8,Persons in thousands
2020,BC,Total,15 years and over,Unemployment rate,9.1,Percent
2020,BC,Total,25 to 54 years,Employment,1651.9,Persons in thousands
2020,BC,Total,25 to 54 years,Employment rate,79.8,Percent
2020,BC,Total,25 to 54 years,Full-time employment,1423.6,Persons in thousands
2020,BC,Total,25 to 54 years,Labour force,1788.2,Persons in thousands
2020,BC,Total,25 to 54 years,Not in labour force,283.1,Persons in thousands
2020,BC,Total,25 to 54 years,Part-time employment,228.3,Persons in thousands
2020,BC,Total,25 to 54 years,Participation rate,86.3,Percent
2020,BC,Total,25 to 54 years,Population,2071.3,Persons in thousands
2020,BC,Total,25 to 54 years,Proportion employed full-time,86.2,Percent
2020,BC,Total,25 to 54 years,Proportion employed part-time,13.8,Percent
2020,BC,Total,25 to 54 years,Unemployment,136.3,Persons in thousands
2020,BC,Total,25 to 54 years,Unemployment rate,7.6,Percent
2020,CA,Total,15 to 24 years,Employment,2211.0,Persons in thousands
2020,CA,Total,15 to 24 years,Employment rate,49.7,Percent
2020,CA,Total,15 to 24 years,Full-time employment,1149.9,Persons in thousands
2020,CA,Total,15 to 24 years,Labour force,2766.9,Persons in thousands
2020,CA,Total,15 to 24 years,Not in labour force,1682.2,Persons in thousands
2020,CA,Total,15 to 24 years,Part-time employment,1061.1,Persons in thousands
2020,CA,Total,15 to 24 years,Participation rate,62.2,Percent
2020,CA,Total,15 to 24 years,Population,4449.1,Persons in thousands
2020,CA,Total,15 to 24 years,Proportion employed full-time,52.0,Percent
2020,CA,Total,15 to 24 years,Proportion employed part-time,48.0,Percent
2020,CA,Total,15 to 24 years,Unemployment,555.9,Persons in thousands
2020,CA,Total,15 to 24 years,Unemployment rate,20.1,Percent
2020,CA,Total,15 to 64 years,Employment,17232.6,Persons in thousands
2020,CA,Total,15 to 64 years,Employment rate,70.1,Percent
2020,CA,Total,15 to 64 years,Full-time employment,14333.8,Persons in thousands
2020,CA,Total,15 to 64 years,Labour force,19092.5,Persons in thousands
2020,CA,Total,15 to 64 years,Not in labour force,5489.4,Persons in thousands
2020,CA,Total,15 to 64 years,Part-time employment,2898.8,Persons in thousands
2020,CA,Total,15 to 64 years,Participation rate,77.7,Percent
2020,CA,Total,15 to 64 years,Population,24581.9,Persons in thousands
2020,CA,Total,15 to 64 years,Proportion employed full-time,83.2,Percent
2020,CA,Total,15 to 64 years,Proportion employed part-time,16.8,Percent
2020,CA,Total,15 to 64 years,Unemployment,1859.9,Persons in thousands
2020,CA,Total,15 to 64 years,Unemployment rate,9.7,Percent
2020,CA,Total,15 years and over,Employment,18068.5,Persons in thousands
2020,CA,Total,15 years and over,Employment rate,58.1,Percent
2020,CA,Total,15 years and over,Full-time employment,14829.7,Persons in thousands
2020,CA,Total,15 years and over,Labour force,19999.8,Persons in thousands
2020,CA,Total,15 years and over,Not in labour force,11074.9,Persons in thousands
2020,CA,Total,15 years and over,Part-time employment,3238.8,Persons in thousands
2020,CA,Total,15 years and over,Participation rate,64.4,Percent
2020,CA,Total,15 years and over,Population,31074.6,Persons in thousands
2020,CA,Total,15 years and over,Proportion employed full-time,82.1,Percent
2020,CA,Total,15 years and over,Proportion employed part-time,17.9,Percent
2020,CA,Total,15 years and over,Unemployment,1931.3,Persons in thousands
2020,CA,Total,15 years and over,Unemployment rate,9.7,Percent
2020,CA,Total,25 to 54 years,Employment,11874.8,Persons in thousands
2020,CA,Total,25 to 54 years,Employment rate,79.6,Percent
2020,CA,Total,25 to 54 years,Full-time employment,10561.4,Persons in thousands
2020,CA,Total,25 to 54 years,Labour force,12893.5,Persons in thousands
2020,CA,Total,25 to 54 years,Not in labour force,2028.9,Persons in thousands
2020,CA,Total,25 to 54 years,Part-time employment,1313.4,Persons in thousands
2020,CA,Total,25 to 54 years,Participation rate,86.4,Percent
2020,CA,Total,25 to 54 years,Population,14922.3,Persons in thousands
2020,CA,Total,25 to 54 years,Proportion employed full-time,88.9,Percent
2020,CA,Total,25 to 54 years,Proportion employed part-time,11.1,Percent
2020,CA,Total,25 to 54 years,Unemployment,1018.7,Persons in thousands
2020,CA,Total,25 to 54 years,Unemployment rate,7.9,Percent
2020,MB,Total,15 to 24 years,Employment,90.1,Persons in thousands
2020,MB,Total,15 to 24 years,Employment rate,53.5,Percent
2020,MB,Total,15 to 24 years,Full-time employment,48.5,Persons in thousands
2020,MB,Total,15 to 24 years,Labour force,107.7,Persons in thousands
2020,MB,Total,15 to 24 years,Not in labour force,60.8,Persons in thousands
2020,MB,Total,15 to 24 years,Part-time employment,41.6,Persons in thousands
2020,MB,Total,15 to 24 years,Participation rate,63.9,Percent
2020,MB,Total,15 to 24 years,Population,168.5,Persons in thousands
2020,MB,Total,15 to 24 years,Proportion employed full-time,53.8,Percent
2020,MB,Total,15 to 24 years,Proportion employed part-time,46.2,Percent
2020,MB,Total,15 to 24 years,Unemployment,17.6,Persons in thousands
2020,MB,Total,15 to 24 years,Unemployment rate,16.3,Percent
2020,MB,Total,15 to 64 years,Employment,605.0,Persons in thousands
2020,MB,Total,15 to 64 years,Employment rate,71.6,Percent
